Date,Price,Open,High,Low,Vol.,Change %
03/02/2008,4300.52 ,4323.70 ,4472.15 ,4210.96 ,38.13B,-1.10%
02/24/2008,4348.54 ,4370.19 ,4391.33 ,4123.31 ,26.08B,-0.50%
02/17/2008,4370.28 ,4546.75 ,4695.80 ,4333.03 ,31.19B,-2.82%
02/10/2008,4497.13 ,4525.03 ,4576.98 ,4431.46 ,11.32B,-2.23%
02/03/2008,4599.70 ,4415.02 ,4672.21 ,4415.02 ,11.60B,6.46%
01/27/2008,4320.77 ,4720.56 ,4720.56 ,4195.75 ,27.92B,-9.26%
01/20/2008,4761.69 ,5188.80 ,5200.93 ,4510.50 ,42.41B,-8.08%
01/13/2008,5180.51 ,5507.58 ,5522.78 ,5039.79 ,41.63B,-5.55%
01/06/2008,5484.68 ,5357.45 ,5500.06 ,5332.60 ,45.55B,2.30%
12/30/2007,5361.57 ,5265.00 ,5372.46 ,5201.89 ,25.60B,1.90%
12/23/2007,5261.56 ,5132.91 ,5336.50 ,5104.65 ,39.51B,3.13%
12/16/2007,5101.78 ,5007.28 ,5112.39 ,4812.16 ,28.43B,1.87%
12/09/2007,5007.91 ,5010.83 ,5209.70 ,4860.16 ,32.82B,-1.65%
12/02/2007,5091.76 ,4838.56 ,5096.80 ,4798.01 ,24.40B,4.52%
11/25/2007,4871.78 ,5102.53 ,5124.89 ,4778.73 ,19.37B,-3.19%
11/18/2007,5032.13 ,5325.30 ,5344.93 ,4896.99 ,20.26B,-5.34%
11/11/2007,5316.27 ,5181.18 ,5453.74 ,5032.58 ,23.80B,0.01%
11/04/2007,5315.54 ,5748.18 ,5787.23 ,5217.63 ,24.82B,-8.00%
10/28/2007,5777.81 ,5641.98 ,6005.13 ,5617.98 ,29.99B,3.37%
10/21/2007,5589.63 ,5742.79 ,5906.69 ,5462.01 ,29.64B,-3.93%
10/14/2007,5818.05 ,5934.77 ,6124.04 ,5766.86 ,38.32B,-1.44%
10/07/2007,5903.26 ,5683.31 ,5959.36 ,5620.00 ,48.56B,6.32%
09/23/2007,5552.30 ,5469.84 ,5560.42 ,5306.82 ,38.14B,1.79%
09/16/2007,5454.67 ,5309.06 ,5489.07 ,5307.77 ,47.74B,2.68%
09/09/2007,5312.18 ,5208.32 ,5395.04 ,5025.34 ,49.07B,0.66%
09/02/2007,5277.18 ,5257.78 ,5412.32 ,5223.67 ,56.93B,1.12%
08/26/2007,5218.82 ,5144.82 ,5235.16 ,5058.45 ,52.72B,2.18%
08/19/2007,5107.67 ,4773.83 ,5125.36 ,4758.40 ,51.98B,9.69%
08/12/2007,4656.57 ,4768.62 ,4916.31 ,4646.43 ,47.50B,-1.95%
08/05/2007,4749.37 ,4600.12 ,4769.62 ,4564.31 ,54.63B,4.14%
07/29/2007,4560.77 ,4348.61 ,4562.69 ,4284.87 ,56.08B,4.96%
07/22/2007,4345.36 ,4091.24 ,4371.51 ,4091.24 ,52.61B,7.06%
07/15/2007,4058.85 ,3920.65 ,4062.12 ,3767.22 ,29.10B,3.69%
07/08/2007,3914.39 ,3809.67 ,3935.51 ,3782.73 ,31.26B,3.52%
07/01/2007,3781.35 ,3800.23 ,3916.47 ,3563.54 ,34.46B,-1.03%
06/24/2007,3820.70 ,4102.79 ,4131.13 ,3779.81 ,47.45B,-6.62%
06/17/2007,4091.45 ,4195.39 ,4312.00 ,4024.49 ,62.14B,-1.00%
06/10/2007,4132.87 ,3942.01 ,4193.45 ,3910.00 ,69.73B,5.62%
06/03/2007,3913.14 ,3981.82 ,3987.27 ,3404.15 ,69.61B,-2.19%
05/27/2007,4000.74 ,4221.58 ,4335.96 ,3858.04 ,87.04B,-4.28%
05/20/2007,4179.78 ,3902.35 ,4208.39 ,3892.97 ,82.63B,3.71%
05/13/2007,4030.26 ,3970.66 ,4081.43 ,3845.23 ,69.78B,0.21%
05/06/2007,4021.68 ,3937.94 ,4072.14 ,3875.38 ,68.07B,4.70%
04/29/2007,3841.27 ,3784.27 ,3851.35 ,3759.48 ,14.65B,2.16%
04/22/2007,3759.87 ,3615.79 ,3802.92 ,3615.79 ,73.91B,4.90%
04/15/2007,3584.20 ,3523.22 ,3623.87 ,3358.93 ,75.38B,1.87%
04/08/2007,3518.27 ,3333.42 ,3563.86 ,3333.26 ,71.88B,5.86%
04/01/2007,3323.59 ,3196.59 ,3334.22 ,3196.59 ,55.27B,4.38%
03/25/2007,3183.98 ,3083.94 ,3273.73 ,3052.08 ,65.35B,3.57%
03/18/2007,3074.29 ,2864.26 ,3099.82 ,2852.86 ,54.67B,4.91%
03/11/2007,2930.48 ,2945.92 ,2979.71 ,2868.81 ,54.69B,-0.25%
03/04/2007,2937.91 ,2827.68 ,2962.42 ,2723.07 ,46.80B,3.76%
02/25/2007,2831.53 ,2999.09 ,3049.77 ,2732.88 ,61.62B,-5.57%
02/11/2007,2998.47 ,2729.84 ,3036.35 ,2728.78 ,47.88B,9.82%
